ชื่อเซลส์,ลำดับ,จำนวนรวม,ประเภท,รายชื่อ,จังหวัด,หมายเหตุ,จำนวนคน ร่วมงาน,ใช้ห้องพัก,40,80,120,200,300,600,ผลรวมจองทั้งหมด,ร้านค้าที่จองยาง
นิว,1,1,ร้านค้า,ร้านยางกิจถาวร,สมุทรปราการ,,2,1,,80,,,,600,680,1
นิว,2,2,ร้านค้า,ร้านตั้งกิจเจริญ,สมุทรปราการ,,2,1,40, ,,,,,40,1
นิว,3,3,ร้านค้า,บริษัท รุ่งเรืองยางยนต์ จำกัด,สมุทรปราการ,สำรองห้อง,2,1,40,,,,,,40,1
นิว,4,4,ร้านค้า,เจริญรวมยาง,สมุทรปราการ,สำรองห้อง,2,1,40,,,,,,40,1
นิว,5,5,ร้านค้า,เยาวลักษณ์การยาง,สมุทรปราการ,สำรองห้อง,2,1,40,,,,,,40,1
อาร์ต,1,6,ร้านค้า,บจ.แกรนด์ไทร์,กทม.,,2,1,,,120,,,,120,1
อาร์ต,2,7,ร้านค้า,บจ.ธนายางพาณิชย์,กทม.,,2,1,40,,,,,,40,1
อาร์ต,3,8,ร้านค้า,บจ.ไจแอ้นทไทร์ สุวรรณภูมิ,กทม.,,2,1,40,,,,,,40,1
ออม,1,9,ร้านค้า,ร้าน ส . วิมลสิน (ร้านยาง),ปทุมธานี,,2,1,,,120,,,,120,1
ออม,2,10,ร้านค้า,ร้านนพรัตน์การยาง (ร้านยาง),ปทุมธานี,,2,1,,80,,,,,80,1
ออม,3,11,ร้านค้า,ก.เจริญการยาง ,ปทุมธานี,สำรองห้อง,2,1,40,,,,,,40,1
ออม,4,12,ร้านค้า,ร้านสุพจการยาง,ปทุมธานี,สำรองห้อง,2,1,,,120,,,,120,1
เม ,1,13,ร้านค้า,บริษัท หลักเมืองถาวร 2004 จำกัด,สุพรรณ,,2,1,,,, ,300,,300,1
เม ,2,14,ร้านค้า,บริษัท วาณิชไทร์ แอนด์ เซอร์วิส จำกัด,สุพรรณ,,2,1,,,, ,300,,300,1
เม ,3,15,ร้านค้า,บริษัท คีน แอนด์ แฟลร์ จำกัด,นครปฐม,,2,1,,, , ,300,,300,1
เม ,4,16,ร้านค้า,บริษัท  สายห้ากิจการยาง  จำกัด,นครปฐม,,2,1,,,,200,,,200,1
เม ,5,17,ร้านค้า,บัณฑิตยางยนต์ (นายบัณฑิต  จันทะเสน),นครปฐม,,2,1,,80,,,,,80,1
เม ,6,18,ร้านค้า,บริษัท สมาร์ท ไพรด์ ลูบริแคนท์ส จำกัด,นครปฐม,สำรองห้อง,2,1,,,120,,,,120,1
เม ,7,19,ร้านค้า,บริษัท ที ไทร์ ออโต้พาร์ท จำกัด,นครปฐม,,2,1,,80,,,,,80,1
เม ,8,20,ร้านค้า,เอกชัยศูนย์ล้อ (สำรอง),สมุทรสาคร,,2,1,,,120,,,,120,1
เม ,9,21,ร้านค้า,อิ่มพันธ์ (สำรอง),กาญจนบุรี,สำรองห้อง,2,1,40,,,,,,40,1
หวาน,1,22,ร้านค้า,พ.พชรทรัพย์,สระบุรี,สำรองห้อง,2,0,,,,0,0,,0,
หวาน,2,23,ร้านค้า,สระบุรีทรัค,สระบุรี,,2,1,,,, ,300, ,300,1
หวาน,3,24,ร้านค้า,อ๊อดการยาง,อยุธยา,,2,0,,,,200,,,200,1
หวาน,4,25,ร้านค้า,มาลัยการยาง,สระบุรี,,2,1,,,120,,,,120,1
หวาน,5,26,ร้านค้า,เกียรติการยาง,อยุธยา,,4,1,40,,,,,,40,1
หวาน,6,27,ร้านค้า,บิ้วตี้การยาง,อยุธยา,,2,1,40,,,,,,40,1
