ร้านค้า,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
เซลส์,ลำดับ,จำนวนรวม,รายชื่อ,จังหวัด,หมายเหตุ,จำนวนคน ร่วมงาน,ใช้ห้องพัก,จำนวน จองยาง (แพค),,,,,,ผลรวมจองทั้งหมด,ร้านค้าที่จองยาง,,,,,,จำนวนร้านค้าที่มางาน,จำนวน/คน ร่วมงาน จริง,จำนวน จองยาง (แพค),,,,,,ผลรวมจองยางทั้งหมดจริง
,,,,,,,,40,80,120,200,300,600,,,,,,,,,,40,80,120,200,300,600,
นิว,1,1,ร้านยางกิจถาวร,สมุทรปราการ,,2,1,,80,,,,600,680,1,,,,,,1,2,,80,,,,600,680
,2,2,ร้านตั้งกิจเจริญ,สมุทรปราการ,,2,1,40, ,,,,,40,1,,,,,,1,1,40, ,,,,,40
,3,3,บริษัท รุ่งเรืองยางยนต์ จำกัด,สมุทรปราการ,สำรองห้อง,2,1,40,,,,,,40,1,,,,,,1,2,40,,,,,,40
,4,4,เจริญรวมยาง,สมุทรปราการ,สำรองห้อง,2,1,40,,,,,,40,1,,,,,,,2,40,,,,,,40
,5,5,เยาวลักษณ์การยาง,สมุทรปราการ,สำรองห้อง,2,1,40,,,,,,40,1,,,,,,1,2,40,,,,,,40
อาร์ต,1,6,บจ.แกรนด์ไทร์,กทม.,,2,1,,,120,,,,120,1,,,,,,1,1,,,,,,,0
,2,7,บจ.ธนายางพาณิชย์,กทม.,,2,1,40,,,,,,40,1,,,,,,1,2,,,,,,,0
,3,8,บจ.ไจแอ้นทไทร์ สุวรรณภูมิ,กทม.,,2,1,40,,,,,,40,1,,,,,,1,2,,,,,,,0
ออม,1,9,ร้าน ส . วิมลสิน (ร้านยาง),ปทุมธานี,,2,1,,,120,,,,120,1,,,,,,1,2,,,120,,,,120
,2,10,ร้านนพรัตน์การยาง (ร้านยาง),ปทุมธานี,,2,1,,80,,,,,80,1,,,,,,1,1,,80,,,,,80
,3,11,ก.เจริญการยาง ,ปทุมธานี,สำรองห้อง,2,1,40,,,,,,40,1,,,,,,,2,40,,,,,,40
,4,12,ร้านสุพจการยาง,ปทุมธานี,สำรองห้อง,2,1,,,120,,,,120,1,,,,,,1,2,,,120,,,,120
เม ,1,13,บริษัท หลักเมืองถาวร 2004 จำกัด,สุพรรณ,,2,1,,,, ,300,,300,1,,อาจเป็น 600,,,,1,2,,,, ,300,,300
,2,14,บริษัท วาณิชไทร์ แอนด์ เซอร์วิส จำกัด,สุพรรณ,,2,1,,,, ,300,,300,1,,,,,,1,2,,,, ,,,0
,3,15,บริษัท คีน แอนด์ แฟลร์ จำกัด,นครปฐม,,2,1,,, , ,300,,300,1,,,,,,1,1,,, , ,,,0
,4,16,บริษัท  สายห้ากิจการยาง  จำกัด,นครปฐม,,2,1,,,,200,,,200,1,,,,,,1,2,,,,200,,,200
,5,17,บัณฑิตยางยนต์ (นายบัณฑิต  จันทะเสน),นครปฐม,,2,1,,80,,,,,80,1,,,,,,1,2,,80,,,,,80
,6,18,บริษัท สมาร์ท ไพรด์ ลูบริแคนท์ส จำกัด,นครปฐม,สำรองห้อง,2,1,,,120,,,,120,1,,,,,,1,1,,,120,,,,120
,7,19,บริษัท ที ไทร์ ออโต้พาร์ท จำกัด,นครปฐม,,2,1,,80,,,,,80,1,,,,,,1,1,,80,,,,,80
,8,20,เอกชัยศูนย์ล้อ (สำรอง),สมุทรสาคร,,2,1,,,120,,,,120,1,,,,,,,2,,,120,,,,120
,9,21,อิ่มพันธ์ (สำรอง),กาญจนบุรี,สำรองห้อง,2,1,40,,,,,,40,1,,,,,,1,2,40,,,,,,40
หวาน,1,22,พ.พชรทรัพย์,สระบุรี,สำรองห้อง,2,0,,,,0,0,,0,,,200,300,,,1,2,,,,0,0,,0
,2,23,สระบุรีทรัค,สระบุรี,,2,1,,,, ,300, ,300,1,(2 แพค),300,,,ณัฐพงษ์การยาง,1,1,,,, ,300, ,300
,3,24,อ๊อดการยาง,อยุธยา,,2,0,,,,200,,,200,1,,,,,สมชาย,,1,,,,200,,,200
,4,25,มาลัยการยาง,สระบุรี,,2,1,,,120,,,,120,1,,,,,เจริญผล,1,1,,,120,,,,120
,5,26,เกียรติการยาง,อยุธยา,,4,1,40,,,,,,40,1,,,,,,1,1,40,,,,,,40
,6,27,บิ้วตี้การยาง,อยุธยา,,2,1,40,,,,,,40,1,,,,,,1,1,40,,,,,,40
 ผลรวมทั้งหมด ,,,,,, 56 , 25 , 400 , 320 , 720 , 400 ," 1,200 ", 600 ," 3,640 ", 26 , -   , 500.00 , 300.00 , -   , -   , 23 , 43 , 320 , 320 , 600 , 400 , 600 , 600 ," 2,240 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,แพค,40,80,120,200,300,600,,,,,,,,,,,,,,,,
,,,,,,,จำนวนจอง/แพค,10,4,6,3,4,1,,,,,,,,,,,,,,,,
,,,,,,,จำนวนเส้น,400,320,720,600,1200,600,,,,,,,,,,,,,,,,
,,,,,,,จำนวนเส้น รวม,3840,,,,,,,,,,,,,,,,,,,,,
,,2,ทำสรุปรายข้อมูลผู้มาร่วมงาน,,,,,,,,,,,,,,,,,,,,,,,,,,
